Cod Empresa;Cod Item;Descricao;Qtde;C Cst Ctbil;F Cst For;Cst Cbil For;Pven Ic;Pven For;M1;M2;M3;M4;M5;M6;Curva;Ultima Compra;Ultima Venda;Pedido;Curva Portal;Locacao;Nome Fornecedor;Possui Pis;Possui Cofins;Status;Forn;Aplicacao
9;26316676;AMORTECEDOR TRASEIRO;2;404,11;410,26;404,11;788,16;788,16;0;0;2;0;0;0;C;16/06/2026;28/05/2026;RA0667;C;112DA1;GM - Brasil;Não;Não;Ativo;1;
9;26316746;HASTE DA MACANETA PA;1;3,64;3,64;3,64;8,32;8,32;0;0;0;0;0;0;D;06/01/2026;23/12/2025;PFMY05;D;112AC1;GM - Brasil;Não;Não;Ativo;1;
9;26317278;SUPORTE MAÇANETA ESQUERDA;1;31,56;42,31;42,31;75,40;75,40;0;2;1;1;0;1;B;14/07/2026;26/06/2026;CVA170;B;113GH1;GM - Brasil;Sim;Sim;Ativo;1;ONIX - 2020 A 2021, TRACKER - 2021 A 2021
9;26317279;SUPORTE MAÇANETA;4;30,08;41,31;41,31;72,66;72,66;0;4;2;2;2;3;A;02/06/2026;02/07/2026;CVA03M;A;112CD1;GM - Brasil;Sim;Sim;Ativo;1;ONIX - 2020 A 2021, TRACKER - 2021 A 2021
9;26317280;DISPOSITIVO DE PLAST;4;14,85;15,59;14,85;38,40;38,40;0;0;2;1;2;1;A;13/07/2026;27/05/2026;CVA160;A;108BH1;GM - Brasil;Sim;Sim;Ativo;1;
9;26317899;SOMBREIRA PARA CARRO;10;157,47;156,98;209,89;300,00;300,00;1;2;4;3;3;4;A;02/07/2026;16/07/2026;CVA161;A;112RA1;GM - Brasil;Não;Não;Ativo;1;
9;26317901;SOMBREIRA PARA CARRO;2;164,76;164,76;220,88;314,88;314,88;3;3;1;1;3;2;A;28/07/2026;28/07/2026;RA0723;A;105DK1;GM - Brasil;Não;Não;Ativo;1;
9;26318201;LAMP,DAYTIME RUNNING;3;170,44;169,80;170,44;442,63;442,63;3;0;1;2;3;0;A;09/07/2026;30/07/2026;COPA43;A;151RB1;GM - Brasil;Não;Não;Ativo;1;
9;26318876;ESTRUTURA ASSENTO BANCO DIANT;1;734,81;648,02;734,81;1.603,40;1.603,40;0;1;0;0;0;0;C;30/07/2026;25/06/2026;ZZ0751;C;900DA;GM - Brasil;Sim;Sim;Ativo;1;
9;26319101;SOMBREIRA PARA CARRO;10;141,92;187,04;199,98;271,22;271,22;2;5;5;4;4;6;A;29/07/2026;31/07/2026;CVA16M;A;113GA1;GM - Brasil;Não;Não;Ativo;1;
9;26320493;COIFA DIANTEIRA ESQUERDA;2;19,63;17,92;19,63;50,40;50,40;0;0;2;0;0;3;B;27/03/2026;16/06/2026;NMA29;B;108AA2;GM - Brasil;Não;Não;Ativo;1;
9;26320660;MOLDURA DA GUARNICAO;1;65,10;65,10;65,10;146,18;146,18;0;0;0;0;0;0;D;18/05/2026;27/02/2025;DD0521;D;153QB1;GM - Brasil;Não;Não;Ativo;1;
9;26321339;TUBO DO CONDENSADOR;4;219,17;219,18;219,17;536,85;536,85;2;3;3;1;1;0;A;13/07/2026;24/07/2026;CVA162;A;113BD1;GM - Brasil;Sim;Sim;Ativo;1;
9;26321818;PAINEL DA COLUNA PAR;1;479,75;479,75;562,29;1.327,25;1.327,25;0;0;0;0;0;0;D;19/01/2026;15/12/2025;PFMY05;D;162TC1;GM - Brasil;Não;Não;Ativo;1;
9;26322183;PRISIONEIRO ARMAZENAMENTO MACACO;1;4,78;4,05;5,21;7,29;7,29;0;0;1;0;0;0;D;19/11/2025;28/05/2026;CVA55;D;111AH1;GM - Brasil;Sim;Sim;Ativo;1;
9;26322617;PLACA DA COBERTURA D;3;484,47;485,47;484,47;1.092,67;1.092,67;2;0;1;3;2;0;A;02/07/2026;28/07/2026;CVA162;A;156CC1;GM - Brasil;Não;Não;Ativo;1;
9;26322618;PLACA DA COBERTURA D;6;473,34;474,59;636,61;1.068,18;1.068,18;2;1;2;3;2;3;A;02/07/2026;27/07/2026;CVA162;A;700DA1;GM - Brasil;Não;Não;Ativo;1;
9;26322628;INSERTO DA GRADE DO;2;54,02;55,87;77,60;106,76;106,76;2;0;1;0;0;1;B;20/07/2026;28/07/2026;RA0721;B;107XG1;GM - Brasil;Não;Não;Ativo;1;
9;26323259;TRIM-R/CMPT FLR;4;336,02;336,02;336,02;754,50;754,50;0;0;1;1;2;3;A;02/06/2026;07/05/2026;CVA02M;A;162AA1;GM - Brasil;Não;Não;Ativo;1;
9;26323376;TAPETE DO PORTA MALAS;4;255,00;355,18;322,04;609,90;609,90;0;0;0;0;0;0;D;10/12/2025;04/10/2025;DSOG01;D;200AA1;GM - Brasil;Não;Não;Ativo;1;ONIX - 2020 A 2020, ONIX NOVO - 2020 A 2020
9;26324975;BOOT-FRT STRUT;10;34,07;34,96;44,15;93,55;93,55;10;2;6;5;6;0;A;20/07/2026;22/07/2026;COPA06;A;111AA2;GM - Brasil;Não;Não;Ativo;1;
9;26325237;MOLDURA RODA DIANTEIRA DIREITA;1;81,47;69,57;69,57;186,02;186,02;9;12;12;9;8;11;A;24/07/2026;24/07/2026;NF 1020769 CICAL;A;900DA;GM - Brasil;Não;Não;Ativo;1;
9;26326387;RODA DE LIGA DE ALUM;1;2.298,10;2.298,10;2.298,10;4.396,42;4.396,42;1;0;0;1;0;0;C;31/07/2026;13/07/2026;RA0724;C;RODAS;GM - Brasil;Não;Não;Ativo;1;
9;26328026;MOLDURA RODA TRASEIRA ESQ;9;43,20;42,62;43,20;124,28;124,28;3;3;2;4;2;2;A;31/07/2026;30/07/2026;JLL44;A;160KC1;GM - Brasil;Não;Não;Ativo;1;
9;26328027;MOLDURA RODA TRASEIRA DIREITA;6;42,62;42,62;42,62;124,28;124,28;4;2;5;3;3;7;A;31/07/2026;24/07/2026;JLL44;A;161AA1;GM - Brasil;Não;Não;Ativo;1;
9;26328318;ACABAMENTO DA PORTA;1;222,34;222,34;222,34;499,24;499,24;0;0;0;0;0;0;C;27/07/2026;;DD0745;C;900GA;GM - Brasil;Não;Não;Ativo;1;
9;26332158;CONDENSADOR AR CONDICIONADO;6;579,13;478,45;579,13;1.843,75;1.843,75;6;2;3;0;1;2;A;02/07/2026;27/07/2026;COPA43;A;152DB1;GM - Brasil;Sim;Sim;Ativo;1;
9;26332162;CONDENSADOR AR CONDICIONADO;1;965,71;828,14;828,14;2.442,21;2.442,21;4;2;0;2;3;3;A;02/07/2026;31/07/2026;CVA162;A;163CB1;GM - Brasil;Sim;Sim;Ativo;1;
9;26332705;PARA-CHOQUE DIANTEIRO;20;652,93;630,09;652,93;1.688,30;1.688,30;6;5;6;5;8;6;A;31/07/2026;27/07/2026;JLL40;A;210AA;GM - Brasil;Não;Não;Ativo;1;TRACKER 3 - 2021 A 2021
9;26332707;PARA-CHOQUE DIANTEIRO;28;1.121,50;1.117,46;1.121,50;2.890,93;2.890,93;11;15;13;9;5;7;A;31/07/2026;03/08/2026;JLL40;A;210AA;GM - Brasil;Não;Não;Ativo;1;TRACKER - 2021 A 2021
9;26333049;BATENTE AMORTECEDOR DIANTEIRO;34;114,05;142,46;167,17;305,02;305,02;50;29;21;21;40;45;A;24/07/2026;31/07/2026;COPA40;A;114BA;GM - Brasil;Não;Não;Ativo;1;AGILE - 2010 A 2014, CELTA - 2001 A 2016, CORSA A - 1994 A 2017, CORSA B - 2002 A 2012, KADETT - 1989 A 1998, OMEGA A - 1993 A 1998, PRISMA A - 2007 A 2012, TIGRA - 1998 A 2000, VECTRA A - 1994 A 1996
9;26335043;TRAVA TAMPA;3;200,18;200,20;200,18;381,75;381,75;6;3;1;2;3;2;A;30/07/2026;29/07/2026;RA0726;A;107AA1;GM - Brasil;Não;Não;Ativo;1;
9;26335577;INSERTO DA GRADE DO;2;49,93;49,77;49,93;92,27;92,27;0;0;1;1;1;1;B;02/06/2026;29/05/2026;CVA02M;B;107AC1;GM - Brasil;Não;Não;Ativo;1;
9;26335579;INSERTO DA GRADE DO;1;47,39;47,41;62,75;87,90;87,90;1;0;1;1;1;0;B;02/06/2026;28/07/2026;CVA02M;B;113GB1;GM - Brasil;Não;Não;Ativo;1;
9;26336067;AMORTECEDOR DA SUSPE;1;506,59;679,47;679,47;1.003,30;1.003,30;1;1;0;2;1;2;A;30/04/2026;13/07/2026;ABRR21;A;151CA1;GM - Brasil;Não;Não;Ativo;1;
9;26336068;AMORTECEDOR DA SUSPE;1;488,27;506,58;488,27;1.003,30;1.003,30;0;1;0;0;0;2;B;04/07/2026;05/06/2026;COPA32;B;159KB1;GM - Brasil;Não;Não;Ativo;1;
9;26336098;BOBINA AIRBAG VOLANTE DIREÇÃO;3;248,24;248,24;310,71;558,72;558,72;0;3;0;0;2;1;A;09/07/2026;25/06/2026;CVA170;A;106AH1;GM - Brasil;Não;Não;Ativo;1;
9;26337240;FORRO CAIXA RODA TRASEIRA;1;207,24;246,70;264,28;555,25;555,25;0;2;0;0;0;1;B;23/06/2026;23/06/2026;ZZ0619;B;PARABA10;GM - Brasil;Não;Não;Ativo;1;
9;26337241;FORRO CAIXA RODA TRASEIRA;2;209,70;209,70;209,70;555,25;555,25;2;2;0;1;0;2;A;30/07/2026;20/07/2026;JLL08;A;PARABA27;GM - Brasil;Não;Não;Ativo;1;
9;26337924;CALOTA RODA;1;80,22;80,22;104,26;220,16;220,16;0;0;0;1;1;0;C;07/05/2026;16/04/2026;ABRR50;C;160AC1;GM - Brasil;Não;Não;Ativo;1;
9;26338245;VENTILADOR DO RESFRI;1;801,73;801,73;801,73;1.988,41;1.988,41;0;0;0;0;0;0;D;20/07/2026;29/01/2026;DD0725;D;151CA1;GM - Brasil;Sim;Sim;Ativo;1;
9;26338247;RADIADOR;2;681,94;930,34;681,94;1.473,08;1.473,08;0;0;0;0;0;0;K;13/08/2024;16/12/2024;GIRO91;K;155RC1;GM - Brasil;Não;Não;Substituído;1;
9;26339800;BUZINA;1;99,68;100,03;133,15;225,14;225,14;4;2;1;4;3;1;A;08/07/2026;27/07/2026;CVA161;A;106AC1;GM - Brasil;Não;Não;Ativo;1;
9;26341675;PANEL ASM-AIR I;2;483,86;676,93;746,73;1.133,82;1.133,82;1;0;0;0;0;0;D;06/01/2026;29/07/2026;PFHY01;D;156BA1;GM - Brasil;Não;Não;Ativo;1;
9;26342625;JOGO DE FIOS COM CON;1;284,31;284,31;380,93;636,98;636,98;1;1;2;0;0;1;B;20/07/2026;09/07/2026;RA0719;B;112BG1;GM - Brasil;Não;Não;Ativo;1;
9;26343577;INTERRUPTOR LIMPADOR PARA-BRISA;1;73,19;73,19;73,19;169,15;169,15;1;0;1;0;0;0;C;08/07/2026;28/07/2026;RA0677;C;107SD1;GM - Brasil;Sim;Sim;Ativo;1;
9;26344204;CALOTA RODA;8;69,31;69,31;90,10;190,26;190,26;4;1;7;0;3;1;A;28/07/2026;28/07/2026;JLL23;A;160HA1;GM - Brasil;Não;Não;Ativo;1;
9;26344409;LANTERNA TRASEIRA DIREITA;2;537,67;504,02;504,02;1.559,49;1.559,49;0;0;2;2;0;0;B;16/06/2026;26/05/2026;COPA17;B;153QA1;GM - Brasil;Não;Não;Ativo;1;
9;26344543;STEP KIT,ASST;2;1.940,07;2.204,09;2.673,12;4.124,90;4.124,90;0;0;1;0;2;0;B;26/06/2026;14/05/2026;CPGM02;B;156AB1;GM - Brasil;Não;Não;Ativo;1;TRACKER - 2021 A 2021
9;26344868;PARA-LAMA DIANTEIRO ESQUERDO;2;292,15;287,41;421,67;756,53;756,53;28;27;24;16;25;15;A;23/07/2026;31/07/2026;NF TUDO;A;950AA1;GM - Brasil;Não;Não;Ativo;1;
9;26344869;PARA-LAMA DIANTEIRO DIREITO;45;285,43;283,02;370,26;756,53;756,53;20;16;19;13;18;19;A;28/07/2026;31/07/2026;COPA55;A;950AA1;GM - Brasil;Não;Não;Ativo;1;
9;26344869;PARA-LAMA DIANTEIRO DIREITO;45;285,43;283,02;370,26;756,53;756,53;20;16;19;13;18;19;A;28/07/2026;31/07/2026;COPA55;A;DEPOSIT BB;GM - Brasil;Não;Não;Ativo;1;
9;26345469;ESPELHO RETROVISOR EXT ESQUERDO;3;531,96;531,96;674,46;1.197,29;1.197,29;2;3;1;1;3;1;A;09/07/2026;08/07/2026;CVA162;A;154RB1;GM - Brasil;Não;Não;Ativo;1;
9;26345470;MIRROR,O/S RR VIEW (;1;384,29;357,37;384,29;1.086,95;1.086,95;1;0;1;1;0;1;B;16/06/2026;15/07/2026;COPA04;B;151AC1;GM - Brasil;Não;Não;Ativo;1;
9;26345475;MIRROR,O/S RR VIEW (;3;543,34;574,21;574,21;1.669,99;1.669,99;0;1;1;1;0;3;A;13/07/2026;15/06/2026;COPA47;A;155QC1;GM - Brasil;Não;Não;Ativo;1;
9;26345476;MIRROR,O/S RR VIEW (;8;549,06;736,51;766,36;1.669,99;1.669,99;1;1;4;1;0;2;A;13/07/2026;16/07/2026;COPA47;A;153BC1;GM - Brasil;Não;Não;Ativo;1;
9;26345528;SORTIDO COMPOSTO POR;15;776,82;766,80;776,82;2.326,71;2.326,71;13;8;4;14;7;7;A;28/07/2026;20/07/2026;JLL21;A;197BA;GM - Brasil;Não;Não;Ativo;1;
9;26345830;TAMPA CJ-CMPT/TR;33;755,60;752,58;984,00;2.011,72;2.011,72;15;13;8;11;10;17;A;31/07/2026;30/07/2026;JLL41;A;210BB;GM - Brasil;Não;Não;Ativo;1;
9;26345830;TAMPA CJ-CMPT/TR;33;755,60;752,58;984,00;2.011,72;2.011,72;15;13;8;11;10;17;A;31/07/2026;30/07/2026;JLL41;A;DEPOSITO C;GM - Brasil;Não;Não;Ativo;1;
9;26347605;PAINEL LATERAL EXTERNO LE;5;1.293,45;1.285,21;1.990,50;3.435,51;3.435,51;3;1;3;1;4;1;A;31/07/2026;31/07/2026;COPA28;A;DEPOSITO A;GM - Brasil;Não;Não;Ativo;1;
9;26347607;PAINEL LATERAL EXTERNO LD;2;1.960,38;1.750,95;2.524,71;4.480,36;4.480,36;2;0;1;3;1;3;A;20/07/2026;23/07/2026;CVA151;A;DEPOSITO A;GM - Brasil;Não;Não;Ativo;1;
9;26347612;PAINEL DO TETO;2;640,09;645,64;640,09;1.449,73;1.449,73;0;0;0;0;1;0;C;23/04/2026;06/04/2026;CVA133;C;600GA1;GM - Brasil;Não;Não;Ativo;1;
9;26347695;PARA-CHOQUE TRASEIRO;30;566,80;583,93;583,93;1.284,00;1.284,00;10;23;17;14;10;11;A;14/07/2026;30/07/2026;CVA162;A;500CA1;GM - Brasil;Não;Não;Ativo;1;
9;26348019;DISPOSITIVO DE PLAST;1;173,93;253,67;253,67;372,04;372,04;0;0;0;0;0;0;D;30/10/2025;05/12/2025;CVA46;D;112DG1;GM - Brasil;Sim;Sim;Ativo;1;
9;26348460;RADIADOR;10;595,69;587,16;796,73;1.694,26;1.694,26;2;2;4;4;5;2;A;08/07/2026;27/07/2026;COPA43;A;800CA1;GM - Brasil;Não;Não;Ativo;1;
9;26348773;BRACKET ASM-ENG;1;141,69;179,32;179,32;289,87;289,87;0;3;1;1;0;0;B;29/06/2026;30/06/2026;CVA151;B;110PK1;GM - Brasil;Sim;Sim;Ativo;1;
9;26348775;SENSOR NÍVEL COMBUSTÍVEL;4;432,05;596,07;432,05;1.000,96;1.000,96;4;2;6;3;3;2;A;02/07/2026;20/07/2026;CVA162;A;151RA1;GM - Brasil;Sim;Sim;Ativo;1;
9;26353842;DEFLETOR ÁGUA PORTA DIANTEIRA;4;46,20;50,52;50,52;106,25;106,25;3;4;2;3;2;3;A;08/07/2026;29/07/2026;CVA160;A;160PB1;GM - Brasil;Não;Não;Ativo;1;
9;26353843;DEFLETOR ÁGUA PORTA DIANTEIRA;4;59,50;80,54;80,25;134,90;134,90;3;4;2;4;0;3;A;13/07/2026;31/07/2026;CVA161;A;160SB1;GM - Brasil;Não;Não;Ativo;1;
9;26353980;ESPELHO RETROVISOR EXT ESQUERDO;2;638,22;856,11;816,81;1.436,47;1.436,47;0;1;1;0;0;1;B;26/06/2026;12/06/2026;CVA150;B;164RC1;GM - Brasil;Não;Não;Ativo;1;
9;26353981;ESPELHO RETROVISOR EXT DIREITO;1;529,37;710,09;710,09;1.407,29;1.407,29;0;0;0;0;2;0;C;07/05/2026;27/03/2026;ABRR56;C;153PB1;GM - Brasil;Não;Não;Ativo;1;
9;26353982;ESPELHO RETROVISOR EXT ESQUERDO;13;349,64;413,81;413,99;694,33;694,33;5;6;7;5;4;5;A;01/06/2026;03/08/2026;PDS02;A;153SA1;GM - Brasil;Não;Não;Ativo;1;
9;26355513;JOGO PROTETOR CÁRTER;111;206,64;234,97;313,36;605,90;605,90;28;43;23;11;20;19;A;14/07/2026;31/07/2026;RDS002;A;161PA1;GM - Brasil;Não;Não;Ativo;1;
9;26355513;JOGO PROTETOR CÁRTER;111;206,64;234,97;313,36;605,90;605,90;28;43;23;11;20;19;A;14/07/2026;31/07/2026;RDS002;A;161QA1;GM - Brasil;Não;Não;Ativo;1;
9;26355515;JOGO PROTETOR CÁRTER;84;207,19;275,78;291,83;605,90;605,90;11;18;23;19;16;5;A;28/07/2026;31/07/2026;RDS002;A;162PA1;GM - Brasil;Não;Não;Ativo;1;NOVA MONTANA 23/
9;26355939;PAINEL-EXT LAT;4;2.070,67;2.070,67;2.070,67;4.649,50;4.649,50;2;2;2;2;1;2;A;20/07/2026;21/07/2026;CVA150;A;DEPOSITO A;GM - Brasil;Não;Não;Ativo;1;
9;26355942;PAINEL EXTERIOR LATERAL;2;1.438,89;1.934,84;1.877,65;3.240,74;3.240,74;1;2;2;1;2;1;A;07/07/2026;30/07/2026;RA0674;A;DEPOSITO A;GM - Brasil;Não;Não;Ativo;1;
9;26356209;JOGO DE PASTILHAS DE;50;429,38;575,71;575,08;1.139,19;1.139,19;14;13;14;13;20;11;A;13/07/2026;30/07/2026;COPA43;A;111TH1;GM - Brasil;Não;Não;Ativo;1;
9;26357381;CARPETE DO PAINEL DO;4;738,51;715,59;715,59;1.446,75;1.446,75;2;1;2;1;4;4;A;02/07/2026;29/07/2026;CVA162;A;163AC1;GM - Brasil;Não;Não;Ativo;1;
9;26358198;ACABAMENTO TAMPA TRASEIRA;1;90,58;90,58;119,73;214,53;214,53;0;0;0;0;0;0;D;06/01/2026;28/11/2025;PFHY02;D;160CB1;GM - Brasil;Não;Não;Ativo;1;
9;26358943;BARRA DE IMPACTO DO;8;635,95;861,02;835,57;1.737,51;1.737,51;3;2;3;6;5;1;A;05/06/2026;29/07/2026;MAL50;A;162ZB1;GM - Brasil;Não;Não;Ativo;1;
9;26361986;VENTILADOR CJ-RESFDR;2;418,23;418,23;418,23;1.324,03;1.324,03;4;0;2;3;0;0;A;31/07/2026;24/07/2026;COPA43;A;151PC1;GM - Brasil;Sim;Sim;Ativo;1;
9;26362448;CHICOTE CJ-FIAC;4;377,35;377,35;491,35;845,43;845,43;0;1;0;1;1;2;B;26/06/2026;05/06/2026;CVA151;B;105QC1;GM - Brasil;Não;Não;Ativo;1;
9;26362449;CHICOTE CJ-FIAC;1;218,63;298,06;296,78;498,41;498,41;0;2;0;0;1;3;B;27/03/2026;10/06/2026;CVA120;B;107HD1;GM - Brasil;Não;Não;Ativo;1;
9;26363478;MOLDURA ABERTURA RODA TRASEIRA;8;56,27;55,18;56,27;160,89;160,89;4;1;4;4;1;2;A;31/07/2026;30/07/2026;JLL44;A;154RA1;GM - Brasil;Não;Não;Ativo;1;
9;26363479;MOLDURA ABERTURA RODA TRASEIRA;11;57,93;56,61;57,93;165,08;165,08;2;4;4;2;4;4;A;31/07/2026;31/07/2026;JLL44;A;159GB1;GM - Brasil;Não;Não;Ativo;1;
9;26364102;PARA-CHOQUE TRASEIRO;2;552,21;552,49;552,21;1.476,84;1.476,84;7;2;0;1;6;1;A;01/08/2026;31/07/2026;JLL40;A;CAIXA 11;GM - Brasil;Não;Não;Ativo;1;
9;26364103;TAMPA FAROL NEBLINA DIANT LE;4;44,05;44,13;58,23;99,33;99,33;7;4;2;5;8;4;A;02/07/2026;29/07/2026;CVA160;A;160KB1;GM - Brasil;Não;Não;Ativo;1;
9;26364104;TAMPA FAROL NEBLINA DIANT LD;6;45,16;60,99;60,99;102,34;102,34;8;5;2;3;5;4;A;02/07/2026;28/07/2026;CVA160;A;161HA1;GM - Brasil;Não;Não;Ativo;1;
9;26364105;TAMPA FAROL NEBLINA DIANT LE;6;65,26;62,68;83,86;147,63;147,63;5;7;5;3;5;3;A;29/07/2026;30/07/2026;CVA160;A;160LB1;GM - Brasil;Não;Não;Ativo;1;
9;26364106;TAMPA FAROL NEBLINA DIANT LD;13;59,75;59,76;76,85;134,51;134,51;6;6;9;7;6;0;A;16/07/2026;30/07/2026;CVA160;A;160ZC1;GM - Brasil;Não;Não;Ativo;1;
9;26364107;TAMPA FAROL NEBLINA DIANT LE;3;62,60;61,32;62,60;138,03;138,03;1;1;0;0;2;1;B;28/07/2026;22/06/2026;RA0677;B;109BQ1;GM - Brasil;Não;Não;Ativo;1;
9;26364108;TAMPA ABERTURA;2;63,14;55,74;80,12;142,09;142,09;0;1;1;1;1;0;B;02/06/2026;08/06/2026;RA0582;B;161TC1;GM - Brasil;Não;Não;Ativo;1;
9;26364110;TAMPA FAROL NEBLINA DIANT LE;4;64,53;64,54;83,87;145,25;145,25;3;1;4;2;2;3;A;29/06/2026;20/07/2026;CVA150;A;161SB1;GM - Brasil;Não;Não;Ativo;1;
9;26364112;TAMPA FAROL NEBLINA DIANT LD;5;55,86;56,28;72,95;126,66;126,66;3;4;3;4;3;7;A;13/07/2026;20/07/2026;CVA160;A;160RC1;GM - Brasil;Não;Não;Ativo;1;
9;26364807;ACABAMENTO INF VIDRO LATERAL TRAS;1;378,97;519,63;516,42;870,34;870,34;2;0;0;1;0;1;B;24/02/2026;31/07/2026;CVA92;B;900JB1;GM - Brasil;Não;Não;Ativo;1;
9;26364808;PAINEL DE ACABAMENTO;1;358,04;487,96;478,66;817,30;817,30;3;0;1;0;3;1;A;09/07/2026;31/07/2026;CVA04M;A;700BB1;GM - Brasil;Não;Não;Ativo;1;
9;26366574;PAINEL ACABAMENTO;2;282,43;288,99;282,43;648,89;648,89;2;1;2;1;1;1;A;02/07/2026;29/07/2026;CVA161;A;700GA1;GM - Brasil;Não;Não;Ativo;1;
9;26367235;SUPORTE-FAROL;1;28,13;28,13;28,13;64,12;64,12;0;0;0;0;0;0;D;06/01/2026;22/12/2025;PFMY05;D;110PG1;GM - Brasil;Não;Não;Ativo;1;
9;26371541;PIPE ASM-TRANS;4;420,79;421,91;565,61;806,29;806,29;2;1;1;2;1;3;A;13/07/2026;31/07/2026;CVA162;A;162RC1;GM - Brasil;Não;Não;Ativo;1;
9;26371815;MIRROR,O/S RR VIEW (;3;309,78;309,78;309,78;871,55;871,55;0;3;2;0;1;1;A;13/07/2026;02/07/2026;COPA47;A;163CC1;GM - Brasil;Não;Não;Ativo;1;
9;26373405;SAPATA FREIO KIT-FR;1;246,61;246,61;307,42;551,97;551,97;0;0;0;0;0;0;D;30/04/2024;11/07/2024;GIRO45;D;111DA1;GM - Brasil;Não;Não;Ativo;1;
9;26376132;MODULO KIT-BBA/COMB;1;906,21;906,21;1.464,16;2.749,75;2.749,75;1;0;1;1;0;0;B;02/06/2026;31/07/2026;MAL56;B;159GC1;GM - Brasil;Não;Não;Ativo;1;
9;26376135;MODULO KIT-BBA/COMB;2;1.000,48;1.348,97;1.308,35;2.259,45;2.259,45;1;0;0;2;1;1;A;26/05/2026;30/07/2026;RA0578;A;151QB1;GM - Brasil;Não;Não;Ativo;1;
9;26376458;MOTOR CJ-VNTDR ARREF;5;526,70;428,26;676,47;1.231,11;1.231,11;3;0;2;4;4;2;A;05/05/2026;31/07/2026;CVA138;A;151DC1;GM - Brasil;Sim;Sim;Ativo;1;
9;26376708;FECHADURA DE ACO DE;2;263,08;266,57;263,08;517,20;517,20;0;0;1;0;0;0;C;11/02/2026;28/05/2026;RA0241;C;108SB2;GM - Brasil;Não;Não;Substituído;1;
9;26376774;APARELHO ELETRICO (C;1;285,80;383,37;371,47;828,95;828,95;1;1;0;3;0;0;B;05/05/2026;28/07/2026;ABRR45;B;151CC1;GM - Brasil;Não;Não;Ativo;1;
9;26376775;APARELHO ELETRICO (C;2;285,80;285,80;285,80;828,95;828,95;1;1;2;1;0;0;B;09/07/2026;08/07/2026;COPA38;B;151RB1;GM - Brasil;Não;Não;Ativo;1;
9;26377851;DEFLECTOR ASM-R;1;54,92;32,60;54,92;54,48;54,48;0;0;0;0;0;0;D;23/07/2025;30/07/2025;DD0739;D;108AL1;GM - Brasil;Não;Não;Ativo;1;
9;26378379;GUIA PARA-CHOQUE TRASEIRO;12;132,52;130,07;130,07;310,65;310,65;2;7;2;9;2;10;A;05/06/2026;27/07/2026;CVA16M;A;161QB1;GM - Brasil;Não;Não;Ativo;1;
9;26378380;GUIA PARA-CHOQUE TRASEIRO;11;111,16;154,83;154,83;259,79;259,79;7;8;3;7;9;4;A;13/07/2026;31/07/2026;CVA161;A;161RA1;GM - Brasil;Não;Não;Ativo;1;ONIX - 2020 A 2020
9;26378393;CINTA TAMPÃO PORTA-MALAS;2;23,20;23,19;23,20;52,08;52,08;4;1;0;2;1;1;A;29/07/2026;16/07/2026;RA0722;A;107BB2;GM - Brasil;Não;Não;Ativo;1;
9;26378827;PAINEL DE INSTRUMENT;1;2.871,79;2.871,79;2.871,79;6.448,35;6.448,35;1;1;0;2;0;0;B;26/06/2026;28/07/2026;CVA151;B;156DC1;GM - Brasil;Não;Não;Ativo;1;
9;26380022;SHADE ASM-LUGG;3;471,02;471,02;648,28;1.060,13;1.060,13;3;2;0;2;2;2;A;29/07/2026;28/07/2026;RA0725;A;153DC1;GM - Brasil;Não;Não;Ativo;1;ONIX - 2020 A 2021
9;26380926;LANTERNA CJ-FR MONT;1;318,21;318,21;318,21;798,28;798,28;0;0;1;0;0;0;D;18/12/2025;21/05/2026;FARO33;D;111TG1;GM - Brasil;Não;Não;Ativo;1;
9;26384440;LATCH ASM-R/CMP;2;267,21;276,41;338,56;527,05;527,05;3;2;1;2;2;2;A;26/06/2026;14/07/2026;CVA150;A;110SJ2;GM - Brasil;Não;Não;Ativo;1;
9;26387491;DISCO DE FREIO DE VE;5;247,18;247,18;245,12;740,03;740,03;4;5;1;8;1;1;A;31/07/2026;11/07/2026;COPA12;A;152BA1;GM - Brasil;Não;Não;Ativo;1;
9;26388163;TRAVA PRIMÁRIA E SECUNDÁRIA CAPÔ;3;171,80;172,55;171,80;329,02;329,02;4;4;2;3;3;3;A;13/07/2026;22/07/2026;CVA170;A;110SG1;GM - Brasil;Não;Não;Ativo;1;
9;26389059;PLACA DA COBERTURA D;1;410,08;541,74;541,74;930,97;930,97;3;1;1;1;0;1;A;26/06/2026;29/07/2026;CVA150;A;156CC1;GM - Brasil;Não;Não;Ativo;1;
9;26389060;PLACA DA COBERTURA D;2;618,03;617,39;828,03;1.389,57;1.389,57;3;3;0;1;1;0;A;14/07/2026;29/07/2026;CVA170;A;200AB1;GM - Brasil;Não;Não;Ativo;1;
9;26389878;CAMERA ASM-RR V;5;1.320,87;1.319,62;1.762,78;2.750,97;2.750,97;0;2;2;1;0;1;A;02/07/2026;26/06/2026;RA0676;A;105BH1;GM - Brasil;Sim;Sim;Ativo;1;
9;26391093;PEDALEIRA ESPORTIVA ALUMÍNIO;2;168,70;236,09;226,21;434,90;434,90;0;1;0;0;0;0;C;16/07/2026;19/06/2026;TDOA01;C;112QH1;GM - Brasil;Não;Não;Ativo;1;NOVA MONTANA 23/
