Cod Empresa;Cod Item;Descricao;Qtde;C Cst Ctbil;F Cst For;Cst Cbil For;Pven Ic;Pven For;M1;M2;M3;M4;M5;M6;Curva;Ultima Compra;Ultima Venda;Pedido;Curva Portal;Locacao;Nome Fornecedor;Possui Pis;Possui Cofins;Status;Forn;Aplicacao
9;AC-0093;REVESTIMENTO DE ASSOALHO ONIX PLUS PREMIUM;5;534,03;547,08;534,03;1.568,42;1.568,42;0;2;1;1;2;1;A;16/07/2026;26/06/2026;NF 40964;A;159KB1;Outros;Sim;Sim;Ativo;2;
9;AC-0095;REVESTIMENTO DE ASSOALHO SONIC / ONIX HATCH PREMIUM;11;609,32;611,52;609,32;;999,00;6;6;4;0;2;3;A;30/07/2026;30/07/2026;NF41257;A;159KC1;Outros;Não;Não;Ativo;2;ONIX PREMIER HATCH
9;AC-0097;REVESTIMENTO DE ASSOALHO MONTANA PREMIUM;3;641,96;648,87;641,96;1.500,00;1.500,00;1;1;4;3;3;0;A;27/05/2026;30/07/2026;estoque mascareli;A;159JB1;Outros;Não;Não;Ativo;2;
9;AC-1000;KIT INSTALACAO ACESSORIO DIVERSOS;327;17,02;135,00;17,02;33,99;33,99;34;15;20;16;26;21;A;29/07/2026;31/07/2026;NF 13585;A;1SALA A1;Outros;Não;Não;Ativo;2;CONCTOR FAROL MIL.VERDE
9;AC-1004;FITA ISOLANTE 19X20 ISOFLEX;12;7,60;7,68;7,60;24,98;24,98;4;3;1;7;4;8;A;06/07/2026;30/07/2026;NF 15093;A;145AD1;Outros;Sim;Sim;Ativo;2;FITA ISOLANTE PARA APLICACAO EM VEICULOS
9;AC-1008;BATERIAS P/CONTROLE ALRME POSITRON/ORIGINAL GM;112;4,05;4,27;4,05;33,33;33,33;13;20;13;16;7;16;A;22/07/2026;03/08/2026;NF27609;A;1SALA M4;Outros;Não;Não;Ativo;2;"FINA
GROSSA 90541381"
9;AC-1100;PELICULA ESPECIAL PARA-BRISA;92;121,68;181,41;121,68;450,00;450,00;40;25;36;35;42;31;A;28/07/2026;01/08/2026;NF34597;A;1SALA I5;Outros;Sim;Sim;Ativo;2;P.S
9;AC-1105;PELICULA PROFISSIONAL NRG20 GRAPHITE NORMAL;43;43,70;39,37;43,70;350,00;350,00;25;32;23;26;26;22;A;23/07/2026;31/07/2026;NF 2792;A;1SALA F1;Outros;Sim;Sim;Ativo;2;UNIVERSAL
9;AC-1109;PELICULA NRG20 WINDOWPREMIUM CONTROLE SOLAR;15;159,47;172,64;159,47;400,00;400,00;42;27;40;38;45;33;A;23/07/2026;01/08/2026;NF 2792;A;1SALA F1;Outros;Sim;Sim;Ativo;2;UNIVERSAL
9;AC-1653;BICO P/PNEU S/CAMARA 413/414  RODA LIGA;54;0,42;0,42;0,42;5,43;5,43;11;9;4;4;5;11;A;12/02/2026;31/07/2026;O BORRACHEIRO ESTOQ;A;1SALA M2;Outros;Não;Não;Ativo;2;BICO P/RODA RT414
9;AC-2021;RODA NOVA TRACKER;3;2.855,10;2.855,10;2.855,10;6.000,00;6.000,00;1;1;0;0;0;0;C;20/07/2026;13/07/2026;NF 1407;C;RODAS;Outros;Não;Não;Ativo;2;
9;AC-3800;KIT ENGATE REMOVIVEL S-10;7;498,80;500,73;498,80;1.100,00;1.100,00;3;5;2;10;4;4;A;15/07/2026;16/07/2026;carretas Fortaleza;A;148AH1;Outros;Sim;Sim;Ativo;2;
9;AC-3801;KIT ENGATE FIXO S-10;3;381,66;386,93;381,66;925,00;925,00;4;7;7;5;5;5;A;15/07/2026;28/07/2026;carretas Fortaleza;A;147AG1;Outros;Sim;Sim;Ativo;2;KIT ENGATE CARRETA  ONIX
9;AC-3947;MODULO AUTOMAT.RETROVISOR NOVA S10 CB TEC;7;137,22;137,21;137,22;300,00;300,00;0;0;0;0;1;0;D;26/05/2025;19/03/2026;VOTRON DIST ESTOQUE;D;1SALA M3;Outros;Sim;Sim;Ativo;2;
9;AC-4000;PPF SMOKE FAROL - HD;22;139,83;799,00;139,83;;799,00;0;0;0;0;0;0;D;03/08/2023;30/04/2024;;D;1SALA1;Outros;Sim;Sim;Ativo;2;PPF PARA FAROL  - FUMÊ 
9;AC-4033;KIT ENGATE CARRETA ONIX HATCH;1;299,47;299,47;299,47;820,00;820,00;0;0;0;0;0;0;D;12/01/2026;12/01/2026;NF CF;D;147AB1;Outros;Sim;Sim;Ativo;2;KIT ENGATE CARRETA  ONIX
9;AC-4039;KIT ENGATE CARRETA NOVA MONTANA;1;354,31;360,00;354,31;925,00;925,00;1;1;4;2;2;1;A;30/07/2026;28/07/2026;NF CARRETAS;A;147AD1;Outros;Não;Não;Ativo;2;
9;AC-4094;PROTETOR CACAMBA S10;2;712,00;712,00;712,00;1.800,00;1.800,00;1;1;1;0;0;1;A;15/07/2026;17/07/2026;NF 69888;A;600GA1;Outros;Não;Não;Ativo;2;
9;AC-4118;KIT MOLA COMPRESS INOX CJ EIXO COM CAP RIG AT;1;187,83;187,83;187,83;;499,32;0;0;0;0;0;0;C;05/06/2026;;MOLAS KEKO;C;162CC1;Outros;Não;Não;Ativo;2;
9;AC-6553;CAMERA DE RÉ MYLINK;7;133,27;133,27;133,27;;850,00;0;8;1;2;4;7;A;14/07/2026;02/07/2026;ESTQ-BRASFORT;A;1SALA L4;Outros;Sim;Sim;Ativo;2;
9;AD1000;AGUA DESMINERALIZADA;24;7,28;7,28;7,28;;39,90;0;0;0;0;0;0;D;26/01/2026;;NF 33614;D;1SALA I4;Outros;Sim;Sim;Ativo;2;
9;ARLA32;ARLA32;19;1,49;8,99;8,99;6,99;6,99;0;0;0;0;0;0;D;10/01/2026;;ARLA32;D;1SALA F1;GM - Brasil;Sim;Sim;Ativo;1;S10 B - 2012 A 2020, TRAILBLAZER - 2013 A 2020
9;BG1001;PNEU BRIDGSTONE 265/60R18 BL110H DUELER A/T AS;2;991,00;991,00;991,00;;1.599,35;0;0;2;0;0;0;C;29/04/2026;28/05/2026;NF 32053;C;PNEUS;Outros;Não;Não;Ativo;2;
9;KPA00859;PNEU FIRESTONE 185/65 R15 F-700;1;411,63;390,00;456,40;699,30;699,30;0;0;0;0;0;0;D;20/06/2023;07/05/2024;;D;PNEUS;GM - Brasil;Não;Não;Ativo;1;MONTANA,  ONIX,  PRISMA II, CHRYSLER NEON, CITROEN C3, CITROEN XANTIA, CITROEN XSARA PICASSO, HONDA CIVIC, KIA CERATO, NISSAN GRAND LIVINA, NISSAN LIVINA, NISSAN TIIDA, NISSAN VERSA, PEUGEOT HOGGAR, PEUGEOT PARTNER, RENAULT SCENIC, TOYOTA ETIOS
9;LAMPADA001;LEMPADA DE LED H7;1;160,73;160,73;160,73;380,00;380,00;0;0;0;0;0;0;C;01/07/2026;;MEGA ACES;C;1SALA A4;Outros;Sim;Sim;Ativo;2;
9;MILITEC01;Condicionador de Metais MILITEC-1 200ml;24;56,46;56,46;56,46;136,84;136,84;0;0;0;0;0;0;C;30/07/2026;;NF130254;C;198BC1;Outros;Sim;Sim;Ativo;2;Universal
9;OL-POE68;OLEO P/COMPRESSOR HIBRID ELETRIC (POE 68 );536;0,38;0,38;0,38;1,29;1,29;130;0;0;0;100;50;B;05/02/2026;16/07/2026;NF DENSUL;B;1SALA A1;Outros;Sim;Sim;Ativo;2;
9;PN235/50R19;PNEU 235/50R19 HANKOOK K117A FOAM;1;1.210,00;1.489,70;1.489,70;1.989,45;1.989,45;0;0;0;0;0;0;K;25/09/2024;24/03/2025;EUROEX;K;PNEUS;Outros;Não;Não;Ativo;2;
9;PN6602;PNEU 235/50R19 XBRI 103W SPORT+2 EXTRA LOAD;2;639,00;639,00;639,00;1.156,65;1.156,65;0;0;0;0;0;0;D;26/11/2025;22/01/2026;NF 19066 AUTOMOTIVA;D;PNEUS;Outros;Não;Não;Ativo;2;
